0,15
0,16
0,17
0,18
0,19
0,20
0,197
0,198
0,199
0,200
0,9
0,201
0,60
0,61
0,3
0,2
0,1
1,15
1,16
1,17
1,18
1,19
2,20
2,197
2,198
2,199
2,200
3,198
3,199
3,200
3,9
3,201
3,60
3,61
3,2
0,4
0,202
0,203
4,204
4,6
4,5
5,7
5,8
5,6
6,11
5,12
7,14
8,13
9,10
10,13
10,11
11,12
12,14
12,13
13,10
14,13
15,205
16,206
17,23
18,24
19,25
20,207
0,21
1,22
21,26
22,27
23,28
24,29
25,30
22,208
26,209
27,210
28,31
29,211
30,212
4,213
5,32
31,33
31,34
31,35
31,36
32,214
33,215
34,216
35,37
36,38
34,39
35,40
36,41
37,42
38,217
39,43
40,44
41,45
42,218
43,219
44,220
45,221
5,222
7,223
8,41
28,46
29,47
30,48
4,49
5,50
31,94
31,95
31,224
46,51
47,52
48,53
49,225
50,56
51,226
52,227
53,54
0,55
1,228
54,229
55,230
56,231
54,55
0,232
0,57
0,58
0,59
0,233
57,234
58,235
59,236
60,237
61,68
3,69
2,70
1,62
15,63
16,64
62,65
63,66
64,67
65,71
66,72
67,73
68,238
69,239
70,240
62,241
63,242
64,243
65,244
66,245
67,74
71,75
72,76
73,77
65,78
66,79
67,246
74,247
75,248
76,249
77,250
78,251
79,252
77,80
78,81
79,82
77,83
78,253
79,254
80,255
81,256
82,257
83,258
80,259
81,260
82,261
83,262
3,84
0,85
0,88
0,86
4,87
4,89
84,90
85,91
86,92
87,93
88,263
86,264
87,265
89,266
90,267
91,263
92,264
93,265
94,266
95,267
96,97
96,268
96,101
96,102
96,103
96,104
96,269
96,132
96,133
96,134
96,270
96,271
97,98
97,99
97,100
97,105
97,106
97,107
98,108
99,109
100,110
98,111
99,272
100,273
101,274
102,275
103,276
104,277
101,278
102,279
103,280
104,281
101,282
102,283
103,284
104,285
100,286
105,287
106,288
107,131
108,112
109,113
110,114
111,115
100,116
105,117
106,118
107,119
108,120
109,121
110,122
111,123
112,289
113,290
114,291
115,292
116,293
117,124
118,125
119,126
120,127
121,128
122,129
123,130
124,294
125,295
126,296
127,297
128,298
129,299
130,300
124,301
125,302
126,303
127,304
128,305
129,306
130,307
96,308
131,309
131,308
132,310
133,311
134,167
132,168
133,169
134,170
132,171
133,172
134,173
132,174
133,312
134,135
132,136
133,137
134,138
132,139
133,140
135,313
136,314
137,315
138,316
139,317
140,318
135,319
136,320
137,321
138,141
139,142
140,143
135,144
136,145
137,146
138,147
139,148
140,149
141,150
142,151
143,152
144,153
145,154
146,155
147,156
141,157
142,158
143,159
144,160
145,161
146,162
147,163
148,322
149,323
150,324
151,325
152,326
153,327
154,328
155,329
156,330
157,331
158,332
159,333
160,334
161,335
162,336
163,337
148,338
149,339
150,340
151,341
152,342
153,343
154,344
155,345
156,346
157,347
158,348
159,349
160,350
161,351
162,352
163,353
96,164
96,165
96,166
97,167
97,168
97,169
98,170
99,171
100,172
98,173
99,174
164,354
165,175
166,176
167,177
168,178
169,179
170,180
171,355
172,356
173,357
174,358
164,359
165,181
166,182
167,360
168,361
169,362
170,359
171,181
172,182
173,360
174,361
175,356
176,357
177,358
178,359
179,181
180,182
181,363
182,183
181,184
182,364
183,185
184,186
185,365
186,366
0,187
0,188
0,189
1,190
1,191
187,192
188,193
189,194
190,195
191,196
192,185
193,186
194,365
195,366
196,185
